TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

H_110_0.6 : 0.84
V_45_0.3 : 0.84
H_160_0.9 : 0.85
V_105_0.9 : 0.85
H_175_0.9 : 0.85
V_75_0.7 : 0.85
V_45_0.2 : 0.85
H_85_0.3 : 0.85
H_100_0.5 : 0.85
H_130_0.7 : 0.86
H_120_0.6 : 0.87
H_170_0.9 : 0.88
V_50_0.6 : 0.88
V_45_0.4 : 0.89
H_90_0.4 : 0.89
H_120_0.7 : 0.89
H_135_0.8 : 0.89
V_125_0.9 : 0.9
V_60_0.8 : 0.9
H_85_0.4 : 0.9
H_165_0.9 : 0.91
H_105_0.6 : 0.91
V_50_0.4 : 0.91
H_125_0.7 : 0.92
H_90_0.5 : 0.92
V_55_0.6 : 0.93
H_100_0.6 : 0.93
V_55_0.7 : 0.93
V_70_0.9 : 0.94
V_50_0.5 : 0.95
H_80_0.4 : 0.95
H_80_0.3 : 0.96
H_95_0.5 : 0.96
V_40_0.2 : 1.0
V_40_0.3 : 1.01
H_130_0.8 : 1.02
H_85_0.5 : 1.03
H_125_0.8 : 1.03
H_115_0.8 : 1.04
H_75_0.2 : 1.06
H_95_0.6 : 1.06
H_80_0.5 : 1.07
H_115_0.7 : 1.07
H_70_0.4 : 1.08
H_70_0.2 : 1.08
H_70_0.3 : 1.12
V_110_0.9 : 1.12
H_120_0.8 : 1.12
V_45_0.5 : 1.13
H_75_0.3 : 1.13
H_90_0.6 : 1.14
V_120_0.9 : 1.14
H_90_0.7 : 1.16
V_55_0.8 : 1.16
H_95_0.7 : 1.16
V_40_0.6 : 1.17
V_70_0.8 : 1.18
H_85_0.7 : 1.18
H_130_0.9 : 1.19
V_50_0.8 : 1.2
H_105_0.7 : 1.2
H_75_0.4 : 1.22
H_100_0.7 : 1.22
V_35_0.2 : 1.23
H_110_0.7 : 1.23
H_65_0.3 : 1.23
H_65_0.2 : 1.24
V_40_0.4 : 1.24
V_35_0.3 : 1.25
H_75_0.5 : 1.28
V_55_0.9 : 1.29
H_65_0.5 : 1.3
H_60_0.2 : 1.31
H_110_0.8 : 1.31
V_45_0.6 : 1.33
V_50_0.7 : 1.33
V_65_0.8 : 1.36
H_115_0.9 : 1.36
H_105_0.8 : 1.36
H_80_0.6 : 1.37
V_40_0.5 : 1.37
V_45_0.7 : 1.37
H_125_0.9 : 1.38
H_75_0.6 : 1.38
H_70_0.6 : 1.39
V_30_0.2 : 1.39
H_70_0.5 : 1.39
H_120_0.9 : 1.4
H_100_0.8 : 1.41
H_85_0.6 : 1.41
H_60_0.4 : 1.42
H_55_0.3 : 1.43
H_80_0.8 : 1.43
V_65_0.9 : 1.43
H_60_0.3 : 1.45
V_35_0.4 : 1.45
H_80_0.7 : 1.46
H_55_0.2 : 1.46
V_115_0.9 : 1.46
V_30_0.4 : 1.5
H_65_0.4 : 1.51
H_85_0.8 : 1.51
H_90_0.8 : 1.51
H_110_0.9 : 1.52
V_35_0.7 : 1.52
H_55_0.6 : 1.57
V_50_0.9 : 1.58
H_95_0.9 : 1.6
H_65_0.6 : 1.61
H_75_0.8 : 1.62
V_40_0.7 : 1.63
V_35_0.5 : 1.63
H_90_0.9 : 1.64
H_70_0.9 : 1.65
V_45_0.9 : 1.66
H_75_0.7 : 1.66
H_50_0.2 : 1.66
H_60_0.5 : 1.66
V_30_0.3 : 1.67
V_45_0.8 : 1.69
H_55_0.5 : 1.71
H_80_0.9 : 1.72
V_25_0.2 : 1.72
H_95_0.8 : 1.73
H_100_0.9 : 1.76
H_55_0.4 : 1.76
H_60_0.7 : 1.78
H_105_0.9 : 1.78
H_50_0.7 : 1.78
V_35_0.6 : 1.78
H_50_0.5 : 1.78
H_50_0.4 : 1.79
H_60_0.8 : 1.79
H_60_0.6 : 1.79
H_45_0.3 : 1.81
V_60_0.9 : 1.81
H_70_0.7 : 1.82
V_40_0.8 : 1.83
H_65_0.7 : 1.84
H_50_0.3 : 1.89
H_45_0.4 : 1.91
H_45_0.2 : 1.91
H_85_0.9 : 1.94
H_40_0.2 : 1.96
H_75_0.9 : 1.96
V_25_0.5 : 1.96
V_30_0.5 : 1.97
H_40_0.3 : 1.99
H_70_0.8 : 2.0
V_25_0.4 : 2.0
V_35_0.8 : 2.01
H_50_0.6 : 2.03
H_55_0.7 : 2.06
V_25_0.3 : 2.06
H_35_0.3 : 2.07
H_35_0.2 : 2.09
H_45_0.6 : 2.09
V_30_0.8 : 2.11
H_45_0.5 : 2.11
V_30_0.6 : 2.13
V_40_0.9 : 2.13
V_30_0.7 : 2.17
H_35_0.4 : 2.17
H_30_0.2 : 2.17
H_55_0.8 : 2.2
H_40_0.4 : 2.21
H_35_0.5 : 2.22
H_40_0.5 : 2.22
H_65_0.8 : 2.26
V_35_0.9 : 2.28
H_40_0.6 : 2.31
H_55_0.9 : 2.34
V_20_0.2 : 2.35
H_45_0.7 : 2.37
H_40_0.7 : 2.39
H_65_0.9 : 2.39
H_60_0.9 : 2.42
H_30_0.3 : 2.46
H_30_0.4 : 2.46
V_20_0.3 : 2.46
H_35_0.6 : 2.51
V_20_0.4 : 2.52
H_45_0.8 : 2.55
H_25_0.2 : 2.59
H_30_0.7 : 2.59
H_50_0.8 : 2.6
V_25_0.8 : 2.6
V_20_0.5 : 2.63
H_35_0.7 : 2.63
V_25_0.6 : 2.64
H_30_0.5 : 2.7
V_20_0.6 : 2.7
H_30_0.6 : 2.74
V_25_0.7 : 2.75
H_50_0.9 : 2.75
H_25_0.5 : 2.76
H_40_0.9 : 2.81
H_25_0.4 : 2.81
H_45_0.9 : 2.85
V_30_0.9 : 2.85
H_40_0.8 : 2.87
H_35_0.9 : 2.88
H_25_0.3 : 2.89
V_15_0.2 : 2.92
V_20_0.8 : 2.95
H_20_0.2 : 2.96
V_15_0.4 : 2.96
V_20_0.7 : 2.96
H_35_0.8 : 2.99
H_30_0.8 : 3.02
H_25_0.7 : 3.05
H_25_0.9 : 3.07
H_25_0.6 : 3.08
